COUNT,60%overlap,80%overlap,RTK
3,41.4487,39.3089,6.0605
4,28.0595,26.7405,5.7318
5,17.1818,15.0575,5.96
6,10.2347,11.6894,4.6157
7,11.6133,11.1733,8.7012
8,10.9498,10.006,8.7382
9,10.3853,9.954,8.8749
10,8.0544,7.6322,7.9231
11,7.9799,6.9007,7.6426
12,7.977,6.8513,7.6378
13,7.764,6.844,7.5825
14,5.6369,5.1164,5.7241
15,5.7527,5.1533,5.7554
16,5.685,5.0445,5.755
17,5.5854,5.2094,5.7079
18,5.5516,5.2016,5.559
19,5.4724,4.5653,5.5361
20,5.5903,4.3208,5.0989
21,5.813,4.517,5.3504
22,5.8431,4.5106,5.534
23,5.7483,4.4285,5.2716
24,5.7117,4.3843,5.0173
25,5.6235,4.4031,4.9462
26,5.4329,4.7162,4.9776
27,5.497,4.9481,4.9928
14,110.0226,115.2328,7.085
15,97.0304,96.5122,14.8557
16,89.9317,84.6659,9.9284
17,70.3665,70.3287,5.283
18,57.8934,58.0307,6.7782
19,38.1629,38.1384,4.9555
20,15.4596,17.7779,6.8444
21,6.3334,6.0779,6.3944
22,6.6033,6.5429,5.1739
23,6.7815,6.5894,5.3712
24,6.4767,6.1254,5.0195
25,6.0726,5.4086,4.9463
26,6.1951,5.2525,5.0066
27,6.0547,5.1032,5.1138
17,5.5814,4.6807,5.7267
18,5.5399,4.6931,5.8936
19,5.2297,4.3994,4.9896
20,5.4575,4.6488,5.4119
21,5.41,4.5513,5.2338
22,6.7816,4.6065,5.0916
23,5.6388,4.5664,5.1326
24,5.601,4.5665,5.1134
26,5.7478,4.5383,5.0274
26,5.6114,4.7314,5.2351
27,5.5238,4.4651,5.3243
12,8.6659,8.4796,7.1601
13,8.2226,7.7395,6.8868
14,7.6545,7.2041,6.8111
15,7.1249,7.0356,6.6926
16,7.2431,7.039,6.6991
17,7.2149,7.0594,6.7341
18,7.2138,7.0701,6.7597
19,6.8583,6.7657,6.3307
20,6.3583,6.0587,5.6514
21,6.1503,5.6274,5.1496
22,5.6525,4.9628,4.6854
23,5.5728,4.8381,4.6404
24,5.1782,4.4981,4.5834
25,5.4714,4.651,4.6664
26,5.36,4.3536,4.7435
27,5.1201,4.2612,4.6401
23,5.4002,5.1676,5.2557
24,5.4752,5.1116,5.2053
25,5.4568,5.0554,5.1514
26,5.4061,5.013,5.2972
27,5.5006,5.1363,5.1023
23,5.5111,5.0276,5.1078
24,5.455,5.0129,5.2593
25,5.4252,4.877,5.2349
26,5.5961,5.1086,5.2147
27,5.3581,5.0541,5.3243
